Idiom,Japanese
be afraid of,〜を恐れる
be full of,〜でいっぱいである
be absent from,〜を欠席する
be proud of,〜を誇りに思う
be similar to,〜と似ている
be interested in,〜に興味がある
be popular with,〜に人気がある
be ready for,〜の用意ができている
be independent of,〜から独立している
be responsible for,〜に責任がある
be sick of,〜にうんざりしている
be in trouble with,〜のことで困っている
be based on,〜に基づいている
be separated from,〜から切り離されている
be involved in,〜に関わっている、〜に夢中である
be jealous of,〜をねたむ、〜に嫉妬する
be eager for,〜を熱望する
be capable of,〜の能力がある
be likely to,〜しそうである
be satisfied with,〜に満足している
be aware of,〜に気づいている
be familiar with,〜に詳しい
stand for,〜を我慢する、〜を表す
turn on,〜をつける
turn off,〜を消す、水などを止める
in turn,順番に
hear from,〜から連絡がある
for a while,しばらくの間
by mistake,間違って、うっかり
agree to,〜することに同意する
for now,今のところ
at present,現在は
make a noise,騒ぐ
come true,実現する
by the way,ところで
differ from,〜と異なる
without fail,必ず
watch out for,〜に用心する
suffer from,〜に苦しむ
decide on,〜を決める
along with,〜と一緒に
hand in,〜を提出する
fall asleep,寝入る
stand by,傍観する、〜の見方をする
bring back,〜を返す、回復させる
lose control of,〜を操作できなくなる
make up one's mind to,〜しようと決心する
shake hands with,〜と握手する
catch up with,〜に追いつく
keep up with,〜に遅れずについていく
out of order,故障して
out of date,時代遅れの、時代遅れで
stand out,目立つ
get over,乗り越える、克服する
all the time,いつでも
by chance,偶然に
come up with,〜を思いつく
at the risk,危険にさらされて
put off,〜を延期する
take advantage of,〜を利用する
upside down,逆さまに
make sense,筋が通る、意味をなす
prefer to,むしろ〜したい
next to,〜の隣に
by far,断然
and so on,〜など
all over the world,世界中に
get along with,〜とうまくやっていく
on the way to,〜へ行く途中で
run out of,〜を使い果たす
turn out to be,〜であることがわかる
for sure,確かに
in the course of,〜のうちに
make friends with,〜と友達になる
reach out for,〜をとろうと手を伸ばす
on average,平均して
at the most,せいぜい、最大でも
call out,叫ぶ、声をかける
get lost,道に迷う
go wrong,物事がうまくいかない、機械が故障する
take a look at,〜を見る
take part in,〜に参加する
take place,行われる、開催される
take care of,〜の世話をする、〜を引き受ける
take a bus,バスに乗る
take a bath,入浴する
take a rest,休息する
take a trip,旅行する
put on,〜を身につける
try on,〜を試着する
turn around,振り向く
get up,起きる
get on,〜に乗る
get off,〜から降りる
get back,戻る
get together,集まる
look for,〜を探す
look at,〜を見る
look forward to,〜を楽しみに待つ
look after,〜の世話をする
look like,〜に似ている
look up,〜を調べる
look around,見回す
look into,〜をのぞき込む、〜を調査する
