Chapter,English,Japanese
1,remind A of B,AにBを思い出させる
1,tell A from B,AをBと区別する
1,think of A as B,AをBとみなす
1,take A for B,AをBだと思う（間違える）
1,depend on,〜に頼る、〜次第である
1,result in,〜という結果になる
1,result from,〜の結果として起こる
1,consist of,〜から成る
1,take part in,〜に参加する
1,take place,行われる、開催される
1,make sense,意味をなす、道理にかなう
1,make sure,〜を確かめる、必ず〜するようにする
1,keep in touch with,〜と連絡を取り合う
1,keep an eye on,〜から目を離さない、〜を監視する
1,go through,〜を経験する、〜を通り抜ける
1,go off,（アラームなどが）鳴る、（爆発物が）爆発する
1,bring about,〜を引き起こす
1,bring up,〜を育てる、〜（話題など）を持ち出す
1,look after,〜の世話をする
1,look forward to,〜を楽しみに待つ
1,believe in,〜を信じる
1,belong to,〜に所属する
1,suffer from,〜（病気など）で苦しむ
1,care for,〜の世話をする、〜を好む
1,deal with,〜を扱う、〜に対処する
1,agree with,〜（人・意見）に賛成する
1,graduate from,〜を卒業する
1,prepare for,〜の準備をする
1,succeed in,〜に成功する
1,search for,〜を探す
1,refer to,〜を参照する、〜に言及する
1,recover from,〜（病気など）から回復する
1,look for,〜を探す
1,look into,〜を調査する、〜の中を見る
2,be based on,〜に基づいている
2,be excited about,〜にわくわくしている
2,pay attention to,～に注意を払う
2,take part in,～に参加する
2,take place,行われる、開催される
2,make sense,意味をなす、道理にかなう
2,take care of,～の世話をする、～を処理する
2,make sure,～を確かめる、必ず～するようにする
2,keep in touch with,～と連絡を取り合う
2,keep an eye on,～から目を離さない、～を監視する
2,go through,～を経験する、～を通り抜ける
2,go off,（アラームなどが）鳴る、（爆発物が）爆発する
2,bring about,～を引き起こす
2,bring up,～を育てる、～（話題など）を持ち出す
2,look after,～の世話をする
2,look forward to,～を楽しみに待つ
2,look into,～を調査する
2,look through,～に目を通す
2,call off,～を中止する
2,call for,～を必要とする、～を（大声で）求める
2,set up,～を設立する、～を準備する
2,set out,出発する、～し始める
2,remind A of B,AにBを思い出させる
2,tell A from B,AをBと区別する
2,think of A as B,AをBとみなす
